Country,Gold,Silver,Bronze,Total
Papua New Guinea,15,7,7,27
New Caledonia,8,4,8,20
Samoa,7,10,0,17
Australia,6,13,6,25
Tahiti,5,4,2,11
Fiji,4,8,7,19
Solomon Islands,3,2,4,9
Federated States of Micronesia,2,1,0,3
Guam,1,1,1,3
Tonga,1,0,0,1
Nauru,0,2,1,3
Marshall Islands,0,0,4,4
New Zealand,0,0,4,4
Cook Islands,0,0,2,2
Kiribati,0,0,2,2
Vanuatu,0,0,2,2
American Samoa,0,0,1,1
Palau,0,0,1,1
Niue,0,0,0,0
Norfolk Island,0,0,0,0
Northern Mariana Islands,0,0,0,0
Tokelau,0,0,0,0
Tuvalu,0,0,0,0
Wallis and Futuna,0,0,0,0
